transaction_id,expected_status,affected_system
TX000051,AMOUNT_MISMATCH,ACCOUNTING
TX000075,AMOUNT_MISMATCH,ACCOUNTING
TX000143,AMOUNT_MISMATCH,ACCOUNTING
TX000158,AMOUNT_MISMATCH,ACCOUNTING
TX000195,AMOUNT_MISMATCH,ACCOUNTING
TX000245,AMOUNT_MISMATCH,ACCOUNTING
TX000292,AMOUNT_MISMATCH,ACCOUNTING
TX000375,AMOUNT_MISMATCH,ACCOUNTING
TX000399,AMOUNT_MISMATCH,ACCOUNTING
TX000422,AMOUNT_MISMATCH,ACCOUNTING
TX000478,AMOUNT_MISMATCH,ACCOUNTING
TX000715,AMOUNT_MISMATCH,ACCOUNTING
TX000736,AMOUNT_MISMATCH,ACCOUNTING
TX000759,AMOUNT_MISMATCH,ACCOUNTING
TX000762,AMOUNT_MISMATCH,ACCOUNTING
TX000798,AMOUNT_MISMATCH,ACCOUNTING
TX000847,AMOUNT_MISMATCH,ACCOUNTING
TX000932,AMOUNT_MISMATCH,ACCOUNTING
TX000979,AMOUNT_MISMATCH,ACCOUNTING
TX001100,AMOUNT_MISMATCH,ACCOUNTING
TX001123,AMOUNT_MISMATCH,ACCOUNTING
TX001172,AMOUNT_MISMATCH,ACCOUNTING
TX001237,AMOUNT_MISMATCH,ACCOUNTING
TX001268,AMOUNT_MISMATCH,ACCOUNTING
TX001355,AMOUNT_MISMATCH,ACCOUNTING
TX001379,AMOUNT_MISMATCH,ACCOUNTING
TX001410,AMOUNT_MISMATCH,ACCOUNTING
TX001500,AMOUNT_MISMATCH,ACCOUNTING
TX001604,AMOUNT_MISMATCH,ACCOUNTING
TX001608,AMOUNT_MISMATCH,ACCOUNTING
TX001657,AMOUNT_MISMATCH,ACCOUNTING
TX001703,AMOUNT_MISMATCH,ACCOUNTING
TX001879,AMOUNT_MISMATCH,ACCOUNTING
TX001909,AMOUNT_MISMATCH,ACCOUNTING
TX001980,AMOUNT_MISMATCH,ACCOUNTING
TX002151,AMOUNT_MISMATCH,ACCOUNTING
TX002160,AMOUNT_MISMATCH,ACCOUNTING
TX002216,AMOUNT_MISMATCH,ACCOUNTING
TX002227,AMOUNT_MISMATCH,ACCOUNTING
TX002366,AMOUNT_MISMATCH,ACCOUNTING
TX002458,AMOUNT_MISMATCH,ACCOUNTING
TX002527,AMOUNT_MISMATCH,ACCOUNTING
TX002592,AMOUNT_MISMATCH,ACCOUNTING
TX002654,AMOUNT_MISMATCH,ACCOUNTING
TX002860,AMOUNT_MISMATCH,ACCOUNTING
TX002958,AMOUNT_MISMATCH,ACCOUNTING
TX003194,AMOUNT_MISMATCH,ACCOUNTING
TX003262,AMOUNT_MISMATCH,ACCOUNTING
TX003353,AMOUNT_MISMATCH,ACCOUNTING
TX003379,AMOUNT_MISMATCH,ACCOUNTING
TX003380,AMOUNT_MISMATCH,ACCOUNTING
TX003479,AMOUNT_MISMATCH,ACCOUNTING
TX003518,AMOUNT_MISMATCH,ACCOUNTING
TX003531,AMOUNT_MISMATCH,ACCOUNTING
TX003760,AMOUNT_MISMATCH,ACCOUNTING
TX003799,AMOUNT_MISMATCH,ACCOUNTING
TX003814,AMOUNT_MISMATCH,ACCOUNTING
TX003816,AMOUNT_MISMATCH,ACCOUNTING
TX003838,AMOUNT_MISMATCH,ACCOUNTING
TX003847,AMOUNT_MISMATCH,ACCOUNTING
TX003903,AMOUNT_MISMATCH,ACCOUNTING
TX003950,AMOUNT_MISMATCH,ACCOUNTING
TX003962,AMOUNT_MISMATCH,ACCOUNTING
TX003967,AMOUNT_MISMATCH,ACCOUNTING
TX003986,AMOUNT_MISMATCH,ACCOUNTING
