transaction_id,contract_id,counterparty_id,transaction_type,accounting_period,transaction_date,currency,original_amount,exchange_rate,converted_amount_usd,processing_timestamp
TX000001,CTR0057,CP028,CLAIM,2025-07,2025-07-07,GBP,4931.99,1.27,6263.63,2025-07-07 10:46:00
TX000002,CTR0326,CP012,COMMISSION,2025-03,2025-03-31,GBP,3009.97,1.27,3822.66,2025-04-01 17:52:00
TX000003,CTR0482,CP042,CLAIM,2025-08,2025-08-14,BRL,13027.54,0.2,2605.51,2025-08-14 00:42:00
TX000004,CTR0434,CP007,COMMISSION,2025-03,2025-03-12,EUR,505.77,1.1,556.35,2025-03-12 17:15:00
TX000005,CTR0138,CP002,CLAIM,2025-05,2025-05-22,GBP,6748.8,1.27,8570.98,2025-05-24 21:07:00
TX000006,CTR0227,CP041,COMMISSION,2025-08,2025-08-28,BRL,1032.23,0.2,206.45,2025-08-30 21:01:00
TX000007,CTR0266,CP030,CLAIM,2025-08,2025-08-02,EUR,35298.31,1.1,38828.14,2025-08-04 12:10:00
TX000008,CTR0124,CP024,CLAIM,2025-07,2025-07-02,EUR,18618.41,1.1,20480.25,2025-07-03 08:22:00
TX000009,CTR0135,CP040,PREMIUM,2025-02,2025-02-21,BRL,14764.51,0.2,2952.9,2025-02-22 03:09:00
TX000010,CTR0119,CP013,PREMIUM,2025-09,2025-09-30,EUR,13661.06,1.1,15027.17,2025-10-01 21:50:00
TX000011,CTR0498,CP019,PREMIUM,2025-04,2025-04-02,BRL,3621.5,0.2,724.3,2025-04-02 08:50:00
TX000012,CTR0374,CP019,PREMIUM,2025-02,2025-02-10,EUR,18521.48,1.1,20373.63,2025-02-11 19:07:00
TX000013,CTR0421,CP047,CLAIM,2025-04,2025-04-12,GBP,9301.42,1.27,11812.8,2025-04-12 07:08:00
TX000014,CTR0409,CP047,PREMIUM,2025-06,2025-06-26,USD,15625.33,1.0,15625.33,2025-06-28 19:02:00
TX000015,CTR0480,CP006,CLAIM,2025-01,2025-01-24,USD,47255.54,1.0,47255.54,2025-01-24 15:30:00
TX000016,CTR0053,CP019,PREMIUM,2025-09,2025-09-06,EUR,7564.43,1.1,8320.87,2025-09-08 12:49:00
TX000017,CTR0441,CP049,PREMIUM,2025-09,2025-09-10,GBP,4952.53,1.27,6289.71,2025-09-10 05:33:00
TX000018,CTR0034,CP028,COMMISSION,2025-07,2025-07-02,GBP,2235.11,1.27,2838.59,2025-07-04 09:49:00
TX000019,CTR0238,CP022,PREMIUM,2025-06,2025-06-19,BRL,23251.03,0.2,4650.21,2025-06-21 21:33:00
TX000020,CTR0298,CP022,CLAIM,2025-04,2025-04-15,GBP,16562.04,1.27,21033.79,2025-04-15 23:18:00
TX000021,CTR0179,CP046,PREMIUM,2025-06,2025-06-21,GBP,5655.16,1.27,7182.05,2025-06-21 12:14:00
TX000022,CTR0074,CP007,PREMIUM,2025-07,2025-07-02,BRL,8048.26,0.2,1609.65,2025-07-03 01:54:00
TX000023,CTR0097,CP012,PREMIUM,2025-08,2025-08-05,USD,3250.0,1.0,3250.0,2025-08-06 14:10:00
TX000024,CTR0413,CP014,PREMIUM,2025-08,2025-08-02,GBP,3265.16,1.27,4146.75,2025-08-03 03:25:00
TX000025,CTR0160,CP040,PREMIUM,2025-04,2025-04-02,USD,33838.76,1.0,33838.76,2025-04-02 10:57:00
TX000026,CTR0156,CP034,CLAIM,2025-07,2025-07-20,USD,28295.42,1.0,28295.42,2025-07-21 03:31:00
TX000027,CTR0462,CP008,PREMIUM,2025-05,2025-05-20,BRL,25136.84,0.2,5027.37,2025-05-22 09:31:00
TX000028,CTR0072,CP010,COMMISSION,2025-07,2025-07-26,GBP,1254.8,1.27,1593.6,2025-07-28 16:58:00
TX000029,CTR0458,CP032,CLAIM,2025-09,2025-09-02,EUR,7823.49,1.1,8605.84,2025-09-04 19:56:00
TX000030,CTR0461,CP037,CLAIM,2025-06,2025-06-11,BRL,60835.42,0.2,12167.08,2025-06-12 11:27:00
TX000031,CTR0300,CP002,COMMISSION,2025-05,2025-05-05,EUR,4824.09,1.1,5306.5,2025-05-06 08:26:00
TX000032,CTR0083,CP009,COMMISSION,2025-05,2025-05-01,GBP,1055.44,1.27,1340.41,2025-05-03 00:49:00
TX000033,CTR0078,CP012,CLAIM,2025-11,2025-11-16,USD,1568.72,1.0,1568.72,2025-11-17 15:07:00
TX000034,CTR0143,CP014,COMMISSION,2025-01,2025-01-26,GBP,1123.17,1.27,1426.43,2025-01-26 16:21:00
TX000035,CTR0289,CP028,CLAIM,2025-10,2025-10-27,EUR,19734.02,1.1,21707.42,2025-10-29 20:49:00
TX000036,CTR0077,CP017,COMMISSION,2025-01,2025-01-17,GBP,1260.41,1.27,1600.72,2025-01-20 00:20:00
TX000037,CTR0228,CP029,COMMISSION,2025-08,2025-08-21,USD,905.93,1.0,905.93,2025-08-22 17:53:00
TX000038,CTR0058,CP008,COMMISSION,2025-07,2025-07-14,BRL,3581.95,0.2,716.39,2025-07-16 22:08:00
TX000039,CTR0271,CP015,CLAIM,2025-09,2025-09-19,BRL,39089.16,0.2,7817.83,2025-09-19 20:29:00
TX000040,CTR0011,CP027,CLAIM,2025-11,2025-11-10,GBP,13463.05,1.27,17098.07,2025-11-11 20:46:00
TX000041,CTR0355,CP049,CLAIM,2025-10,2025-10-30,EUR,11121.76,1.1,12233.94,2025-11-01 11:13:00
TX000042,CTR0028,CP042,COMMISSION,2025-10,2025-10-14,BRL,620.54,0.2,124.11,2025-10-16 19:26:00
TX000043,CTR0098,CP035,COMMISSION,2025-08,2025-08-05,USD,1848.01,1.0,1848.01,2025-08-06 19:51:00
TX000044,CTR0088,CP016,PREMIUM,2025-07,2025-07-15,BRL,20078.13,0.2,4015.63,2025-07-17 12:27:00
TX000045,CTR0416,CP034,PREMIUM,2025-09,2025-09-09,USD,10125.39,1.0,10125.39,2025-09-10 16:01:00
TX000046,CTR0027,CP021,COMMISSION,2025-08,2025-08-22,GBP,4652.18,1.27,5908.27,2025-08-22 06:35:00
TX000047,CTR0215,CP037,CLAIM,2025-07,2025-07-10,GBP,86566.5,1.27,109939.46,2025-07-12 03:29:00
TX000048,CTR0296,CP027,CLAIM,2025-12,2025-12-23,EUR,37881.08,1.1,41669.19,2025-12-25 22:51:00
TX000049,CTR0258,CP006,COMMISSION,2025-04,2025-04-23,BRL,2742.17,0.2,548.43,2025-04-24 13:41:00
TX000050,CTR0341,CP032,PREMIUM,2025-12,2025-12-20,EUR,2578.39,1.1,2836.23,2025-12-20 21:17:00
TX000051,CTR0402,CP039,PREMIUM,2025-09,2025-09-20,BRL,10861.3,0.2,2172.26,2025-09-20 02:12:00
TX000052,CTR0197,CP018,COMMISSION,2025-12,2025-12-30,USD,2016.4,1.0,2016.4,2025-12-30 14:54:00
TX000053,CTR0415,CP001,COMMISSION,2025-04,2025-04-01,USD,1191.1,1.0,1191.1,2025-04-02 07:55:00
TX000054,CTR0159,CP026,COMMISSION,2025-01,2025-01-07,EUR,1482.79,1.1,1631.07,2025-01-10 00:40:00
TX000055,CTR0493,CP038,COMMISSION,2025-05,2025-05-18,GBP,2586.09,1.27,3284.33,2025-05-19 05:21:00
TX000056,CTR0253,CP010,COMMISSION,2025-08,2025-08-21,USD,5708.03,1.0,5708.03,2025-08-21 07:33:00
TX000057,CTR0369,CP002,COMMISSION,2025-12,2025-12-11,BRL,1466.4,0.2,293.28,2025-12-13 16:22:00
TX000058,CTR0438,CP047,COMMISSION,2025-09,2025-09-29,USD,577.82,1.0,577.82,2025-09-30 22:28:00
